Surname Unicode,Surname Ascii,Gender,Origin,Meaning(s),Tag(s)
Latham,latham,Male,English,Dweller At The Barns,#Surname
Lathrop,lathrop,Male,English,From The Farm On Clay Soil,#Surname
Latimer,latimer,Male,English,Interpreter,#Surname
Laverick,laverick,Neutral,English,Lark,#Surname
Lawrence,lawrence,Male,English,Laurel,#Surname
Lawson,lawson,Male,English,Son Of Lawrence,#Surname
Leavitt,leavitt,Male,English,Wolf Cub,#Surname
LeBlanc,leblanc,Neutral,French,Pale Complected Or White-Haired,#Surname
Ledell,ledell,Female,English,From The Loud Spring,#Surname
Lee,lee,Neutral,English,Field,#Surname
Legacy,legacy,Neutral,English,An Inheritance: Something Left To Someone In A Will.,#FictionalCharacter|#Literary|#Occupational|#Politician|#Royal|#Surname
Lenker,lenker,Neutral,German,Agile Person,#Surname
Lennon,lennon,Neutral,Irish,Dear One,#Celebrity|#Surname
Lennox,lennox,Neutral,Scottish,From Levenach|Scotland,#Celebrity|#Surname
Leonard,leonard,Male,English,Brave As A Lion,#Surname
Lester,lester,Male,English,From Leicester|England,#Surname
Leven,leven,Neutral,Scottish,Place Of The Flood,#Place|#Surname
Levron,levron,Neutral,French,From Vron|France,#Surname
Lewis,lewis,Male,English,Famed Warrior,#Surname
Limoges,limoges,Neutral,French,Carrying Spears,#Brand|#Surname
Linden,linden,Male,English,Made From Linwood Or Lime-wood,#Nature|#Surname
Lindley,lindley,Neutral,English,From The Lime Wood,#Surname
Lindsey,lindsey,Neutral,English,From The Lake Settlement Island,#Surname
Little,little,Neutral,English,Small Man,#Surname
Livingston,livingston,Male,Scottish,From Leving's Town,#Surname
Lloyd,lloyd,Male,Welsh,Grey,#Surname
Locke,locke,Neutral,English,Lock|Fastening,#Surname
Loften,loften,Neutral,English,Dwellers Of The Loft House,#Surname
Logan,logan,Neutral,Scottish,Little Hollow,#FictionalCharacter|#Nature|#Surname
Loman,loman,Male,German,From The Wood Land,#FictionalCharacter|#Surname
Lopez,lopez,Male,Spanish,Son Of Lope/Lobe,#Surname
Lorimer,lorimer,Male,English,Harness Maker,#Surname
Loring,loring,Neutral,English,From Lorraine In France,#Surname
Love,love,Neutral,English,Full Of Love Or Female Wolf,#Surname
Lovel,lovel,Neutral,English,Little Wolf,#Surname
Lowe,lowe,Neutral,English,Near The Small Hill,#Surname
Lowell,lowell,Male,English,Little Wolf,#Nature|#Surname
Lowery,lowery,Neutral,English,Family Of Lawrence,#Surname
Lowry,lowry,Male,Scottish,Laurel,#Surname
Lozano,lozano,Neutral,Italian,From Locarno|Switzerland.,#Surname
Lu,lu,Neutral,English,Light Or Famed Warrior,#Surname
Lucas,lucas,Male,Latin,From Lucania|Italy,#Biblical|#FictionalCharacter|#Place|#Sports|#Surname
Lucero,lucero,Female,Spanish,Light|Star,#Surname
Lucretia,lucretia,Female,Latin,Wealth,#Surname
Lucretius,lucretius,Male,Latin,Wealth|Profit,#Surname
Luke,luke,Male,Greek,Person From Lucania,#Biblical|#Celebrity|#FictionalCharacter|#Surname
Luna,luna,Female,Italian,The Moon,#FictionalCharacter|#Nature|#Surname
Lund,lund,Male,Scandinavian - Norse,Sacred Grove Of Trees,#Surname
Lundur,lundur,Neutral,Scandinavian - Norse,Sacred Grove Of Trees,#Surname
Lundy,lundy,Neutral,Scandinavian,Grove,#Surname
Lyle,lyle,Neutral,English,From The Island,#Surname
Lynch,lynch,Neutral,English,Descendant Of The Mariner,#Surname
Lynde,lynde,Neutral,German,Gentle,#Surname
Lyons,lyons,Neutral,Irish,Son Or Family Of Lyon,#Surname
Mac,mac,Male,Scottish,Son,#Surname
Macall,macall,Neutral,Scottish,Son Of The Battle Chief,#Surname
Macaulay,macaulay,Neutral,Scottish,Son Of The Battle Chief,#Surname
MacDonald,macdonald,Male,Scottish,Son Of Donald,#Surname
Macias,macias,Neutral,Spanish,The Messiah,#Surname
Mack,mack,Male,English,Son Of...,#Surname
Maddock,maddock,Male,Welsh,Good|Fortunate,#Surname
Maddox,maddox,Male,English,Son Of Madoc,#Sports|#Surname
Madigan,madigan,Neutral,Irish,Dog|Mastiff,#Surname
Madison,madison,Neutral,English,Son Of Matthew,#Place|#Surname
Mahomes,mahomes,Neutral,Irish,Bear,#Surname
Mahoney,mahoney,Neutral,Irish,Son Of The Bear,#Surname
Maille,maille,Female,French,Small Coin Or Tax Of That Amount,#Surname
Majella,majella,Female,Irish,Great,#Place|#Surname
Maldonado,maldonado,Neutral,Spanish,Ill-Favored,#Surname
Mallow,mallow,Neutral,American,Flower,#Surname
Malone,malone,Male,Irish,Devoted To St. John,#Surname
Mancuso,mancuso,Neutral,Italian,Left-handed,#Surname
Mann,mann,Male,English,Strong|Manly,#Surname
Manning,manning,Neutral,English,Strong|Valiant,#Sports|#Surname
Manton,manton,Male,English,From The Sandy Earth,#Surname
Mara,mara,Female,Hebrew,Of The Sea Or Bitter,#Biblical|#Celebrity|#Place|#Surname
Marconi,marconi,Neutral,Italian,From The Family Of Marc,#Surname
Marin,marin,Neutral,Latin,Of The Sea,#Surname
Marks,marks,Male,English,Devotee Of Mars,#Surname
Marley,marley,Neutral,English,From The Boundary Field,#Surname
Marlo,marlo,Female,English,Lake Remains,#Surname
Marlow,marlow,Neutral,English,Lake Remains,#Surname
Marmaduke,marmaduke,Male,Irish,Disciple Of Saint Maedoc,#Surname
Marquez,marquez,Neutral,Spanish,Son Of Marco,#Surname
Marsh,marsh,Neutral,English,Lives Near The Marshland,#Surname
Marshall,marshall,Male,English,Horse Keeper,#Occupational|#Surname
Martelli,martelli,Male,Italian,Hammersmith,#Surname
Martin,martin,Male,Latin,God Of War,#Celebrity|#Surname
Martinez,martinez,Male,Spanish,Descendant Of Martin,#Surname
Martini,martini,Neutral,Italian,Devotee Of Mars,#Surname
Mason,mason,Male,English,Stone Worker|Brick Layer,#Occupational|#Surname
Massey,massey,Neutral,English,French Place Name,#Place|#Surname
Mata,mata,Neutral,Spanish,Forest Land,#Place|#Surname
Mathis,mathis,Male,French,Gift Of God,#Surname
Mattox,mattox,Male,English,Son Of Madoc,#Surname
Maxton,maxton,Male,English,From Maccus' Town,#Place|#Surname
Maxwell,maxwell,Male,English,From Mack's Spring,#Literary|#Surname|#Water
May,may,Female,English,Goddess Maia Or Family Of Matthew,#Surname
Mayer,mayer,Male,German,Steward,#Celebrity|#Surname
Mayes,mayes,Neutral,English,Servant Or Child Of Matthew,#Surname
Maynard,maynard,Male,English,Brave Strength,#Surname
Mayo,mayo,Neutral,English,Family Of Matthew,#Surname
Mays,mays,Neutral,English,Good Friend,#Sports|#Surname
McCall,mccall,Neutral,Scottish,Son Of The Battle Chief,#Surname
McClure,mcclure,Neutral,Scottish,Son Of Ordar's Follower,#Surname
McCormick,mccormick,Neutral,Scottish,Son Of Cormac,#Surname
McCoy,mccoy,Neutral,Scottish,Son Of Aodh,#Surname
McCullough,mccullough,Neutral,Scottish,Son Of The Brave,#Surname
McDaniel,mcdaniel,Neutral,Scottish,Son Of Daniel/Donald,#Surname
McDonald,mcdonald,Neutral,Scottish,Son Of Donald,#Surname
McDowell,mcdowell,Neutral,Scottish,Son Of The Dark One,#Surname
McGee,mcgee,Neutral,Irish,Fire,#Fire|#Surname
McGuire,mcguire,Neutral,Scottish,Son Of The Pale Complected,#Surname
McIntyre,mcintyre,Male,Scottish,Son Of The Carpenter,#Surname
McKee,mckee,Neutral,Scottish,Son Of The Fiery One,#Surname
Mckenley,mckenley,Neutral,Scottish,Place Name,#Surname
McKenzie,mckenzie,Male,Scottish,Son Of The Handsome One,#Surname
McKinney,mckinney,Neutral,Scottish,Pagan God Of Fire,#Fire|#Surname
Mead,mead,Neutral,English,From The Meadow,#Surname
Medina,medina,Neutral,Hebrew,From The City,#Surname
Medrano,medrano,Neutral,Spanish,Abundance,#Surname
Mejia,mejia,Neutral,Spanish,Messiah,#Surname
Melton,melton,Neutral,English,The Middle Settlement,#Surname
Mendoza,mendoza,Neutral,Spanish,Cold Mountain,#Surname
Mercado,mercado,Neutral,Spanish,Market Worker,#Surname
Mercer,mercer,Neutral,English,Merchant,#Literary|#Occupational|#Surname
Merritt,merritt,Neutral,English,From The Boundary Gate,#Surname
Meyer,meyer,Neutral,English,Mayor,#Surname
Meza,meza,Neutral,Spanish,Mesa|Plateau,#Surname
Michael,michael,Neutral,Hebrew,Who Is Like God?,#Biblical|#Celebrity|#Surname
Middleton,middleton,Neutral,English,From The Middle Town,#Surname
Miles,miles,Male,Latin,Soldier,#FictionalCharacter|#Musical|#Surname
Miller,miller,Neutral,English,Mill Worker,#Occupational|#Surname
Mills,mills,Neutral,English,Near The Mills,#Surname
Miner,miner,Neutral,English,Coal Miner,#Occupational|#Surname
Miranda,miranda,Female,Latin,Admirable,#Celebrity|#FictionalCharacter|#Literary|#Surname
Mirra,mirra,Female,Italian,Myrrh,#Surname
Mitchell,mitchell,Male,American,Who Is Like God?,#Surname
Miyanda,miyanda,Female,African - Zambian,Unknown,#Surname
Mizell,mizell,Neutral,English,Wood Cutter,#Surname
Mobley,mobley,Neutral,English,From The Clearing With The Mound,#Place|#Surname
Molina,molina,Neutral,Spanish,Miller,#Occupational|#Surname
Monahan,monahan,Neutral,Irish,Descendant Of The Little Monk,#Surname
Monet,monet,Neutral,French,To Be Heard,#Surname
Monroe,monroe,Neutral,Scottish,From The Hill,#Surname
Montague,montague,Male,English,From The Pointed Hill,#Surname
Montes,montes,Neutral,Spanish,Mountains,#Surname
Montgomery,montgomery,Male,English,From The Hill Of The Powerful Man,#Surname
Montoya,montoya,Neutral,Spanish,From The Hills And Valleys,#Surname
Moon,moon,Neutral,English,From The Moon,#Celebrity|#Surname
Moore,moore,Neutral,English,Lives Near A Marsh Or Bog,#Surname
Mora,mora,Female,Spanish,Blackberry,#Surname
Morales,morales,Neutral,Spanish,By The Mulberry Tree,#Surname
Moran,moran,Neutral,Irish,Sea Warrior,#Surname
Moreno,moreno,Neutral,Spanish,Brown-skinned,#Surname
Morgan,morgan,Neutral,Welsh,Great Circle,#Nature|#Surname
Morris,morris,Male,Latin,Dark Skinned,#Surname
Morrison,morrison,Neutral,English,Son Of Morris,#Surname
Morrow,morrow,Neutral,English,Row Of Cottages On The Moor,#Surname
Morse,morse,Male,English,Dark Skinned,#Surname
Morton,morton,Male,Scottish,From The Moor Town,#Surname
Moses,moses,Male,Egyptian,Born Of A God,#Biblical|#Surname
Mosley,mosley,Neutral,English,Unknown,#Surname
Moss,moss,Male,English,Born Of A God,#Biblical|#Nature|#Surname
Mozart,mozart,Male,German,From The Bog|Marsh,#Place|#Surname
Mueller,mueller,Neutral,German,Miller,#Surname
Mukhopadhyay,mukhopadhyay,Female,Indian,Chief Teacher,#Surname
Mulder,mulder,Male,German,Wooden Bowl Maker,#FictionalCharacter|#Surname
Mullins,mullins,Neutral,English,Miller,#Occupational|#Surname
Muncel,muncel,Neutral,Slavic,Romanian Place Name,#Surname
Muñoz,munoz,Male,Spanish,Son Of Muño,#Surname
Murgatroyd,murgatroyd,Female,English,From Margaret's Clearing,#Surname
Murphy,murphy,Neutral,Irish,Descendant Of Sea Warrior,#Celebrity|#FictionalCharacter|#Surname
Murray,murray,Neutral,English,From The Sea Town,#Surname
Murrillo,murrillo,Neutral,Spanish,Wall|Boundary,#Surname
Mycroft,mycroft,Male,English,By The Stream|Small Field,#Literary|#Surname
Nansen,nansen,Male,Scandinavian,Son Of Nan,#Surname
Nash,nash,Male,English,Dweller By The Ash Tee,#Surname
Nava,nava,Female,Hebrew,Beauty,#Surname
Navarro,navarro,Male,Spanish,From Navarre|France,#Place|#Surname
Naylor,naylor,Neutral,English,Nail Maker,#Occupational|#Surname
Neal,neal,Male,Irish,Champion Or Passionate,#Surname
Neely,neely,Neutral,Irish,Son Of Champion Or Passionate,#Surname
Neenan,neenan,Female,Irish,(Descendent Of The) Beloved,#Surname
Neilan,neilan,Male,Irish,Descendant Of Niall,#Surname|#Virtue
Nellis,nellis,Female,American,Horn,#Surname
Nelson,nelson,Male,English,Son Of Neil Or Nell,#Surname
Nero,nero,Male,Latin,Powerful|Strong,#Surname
Neville,neville,Male,French,New Town,#Surname
Newell,newell,Neutral,English,New Town,#Surname
Newman,newman,Male,English,The New Man|Stranger,#Surname
Newton,newton,Male,English,From The New Town,#Celebrity|#Science|#Surname
Nguyen,nguyen,Neutral,Vietnamese,Musician Of Stringed Instrument,#Surname
Nichols,nichols,Neutral,English,Family Of Nicholas,#Surname
Nicholson,nicholson,Male,English,Son Of Nicholas,#Surname
Nicodemus,nicodemus,Male,Greek,Victory Of The People,#Biblical|#Surname
Nixon,nixon,Male,English,Son Of Nicholas,#Politician|#Surname
Noble,noble,Neutral,English,High Born,#Surname
Nolan,nolan,Male,Irish,Descendant Of The Famous One,#Sports|#Surname
Noll,noll,Neutral,German,Rule,#Surname
Norman,norman,Male,English,Man From The North,#Surname
Norris,norris,Neutral,English,From The North,#Surname
Norton,norton,Male,English,From The Town In The North,#Surname
Novak,novak,Male,German,Newcomer,#Surname
Nuin,nuin,Female,Basque,Unknown,#Surname
Nuñez,nunez,Neutral,Spanish,Son Of Nuño,#Surname
Oakley,oakley,Neutral,English,From The Oak Tree Field,#Brand|#Surname
Ochoa,ochoa,Neutral,Spanish,The Wolf,#Surname
Ogden,ogden,Male,English,From The Oak Valley,#Surname
Ohara,ohara,Female,Japanese,Large Plain,#Surname
Oliver,oliver,Male,English,Olive Tree,#Celebrity|#Musical|#Politician|#Surname
Olsen,olsen,Neutral,Scandinavian,Son Of Olaf,#Surname
Olson,olson,Male,Scandinavian,Son Of Olaf,#Surname
Onofre,onofre,Male,Spanish,Peace Warrior,#Surname
Oracion,oracion,Neutral,Spanish,Prayer,#Surname
Orde,orde,Male,English,Point|Sword,#Surname
Ormand,ormand,Male,English,Descendent Of The Red One,#Surname
Orozco,orozco,Neutral,Spanish,From Orozco|Spain,#Surname
Orrick,orrick,Male,English,Sword Ruler,#Surname
Ortega,ortega,Neutral,Spanish,From Ortega|Spain,#Surname
Ortiz,ortiz,Male,Spanish,Son Of Orti,#Surname
Osborn,osborn,Male,English,God Bear,#Surname
Osbourne,osbourne,Male,English,God Bear,#Surname
Owen,owen,Male,Irish,The Yew Tree Or Youth,#Celebrity|#FictionalCharacter|#Literary|#Surname
Pace,pace,Neutral,English,Peaceful One,#Surname
Pacey,pacey,Male,English,From Pacy In France,#Surname
Pacheco,pacheco,Neutral,Spanish,Noble One|Or From France,#Surname
Padilla,padilla,Neutral,Spanish,Small Sauce Pan,#Surname
Page,page,Neutral,English,Attendant,#Surname
Paget,paget,Neutral,English,Little Page,#Celebrity|#Surname
Paige,paige,Female,English,Assistant|Page,#Occupational|#Surname
Painter,painter,Neutral,English,One Who Paints,#Occupational|#Surname
Palacios,palacios,Neutral,Spanish,Palaces,#Surname
Palmer,palmer,Male,English,Holy Land Pilgrim,#Surname
Parish,parish,Neutral,English,Religious Region,#Surname
Park,park,Neutral,Chinese,Cypress Tree,#Surname
Parker,parker,Neutral,English,Park Keeper,#Occupational|#Surname
Parkin,parkin,Neutral,English,Rock,#Surname
Parry,parry,Neutral,Welsh,Son Of Harry,#Surname
Parsons,parsons,Neutral,English,Priest|Parson,#Surname
Patel,patel,Neutral,Indian,Land Owner,#Surname
Patrick,patrick,Male,English,Nobleman,#Surname
Patterson,patterson,Male,English,Son Of Patrick,#Surname
Patton,patton,Male,English,Son Of Patrick,#Surname
Paul,paul,Male,Latin,Humble|Small,#Biblical|#Surname
Paxton,paxton,Neutral,English,From Pacc's Town,#Surname
Payne,payne,Neutral,English,Pagan,#Surname
Pays,pays,Neutral,English,Peace,#Surname
Payson,payson,Neutral,English,Son Of Peace,#Surname
Pazzi,pazzi,Neutral,Italian,Madman,#Surname
Pearson,pearson,Neutral,English,Son Of Piers/Peter,#Surname
Pemberley,pemberley,Neutral,English,From The Barley Hill,#Surname
Peña,pena,Male,Spanish,Lives Near The Rock Or Cliff,#Surname
Pennington,pennington,Neutral,English,Livestock Enclosure,#Surname
Percival,percival,Male,English - Arthurian Romance,Pierce Valley,#FictionalCharacter|#Place|#Science|#Surname
Perez,perez,Male,Spanish,Son Of Pedro,#Biblical|#Surname
Perkins,perkins,Neutral,English,Son Of Peter,#Surname
Perry,perry,Male,English,Dweller By The Pear Tree,#Surname
Peterson,peterson,Male,English,Son Of Peter,#Surname
Pfeiffer,pfeiffer,Neutral,German,Piper (Musician),#Surname
Pham,pham,Neutral,Vietnamese,Extensive,#Surname
Phelps,phelps,Neutral,English,Family Of Phillip,#Surname
Phiper,phiper,Neutral,German,Pipe Player,#Occupational|#Surname
Picasso,picasso,Neutral,Spanish,Magpie; Talkative,#Celebrity|#Surname
Pickles,pickles,Neutral,English,Lives By Small Field,#Surname
Pierce,pierce,Neutral,English,Rock,#Surname
Pike,pike,Neutral,English,Peak|Point,#Surname
Piñeda,pineda,Neutral,Spanish,Forest Of Pines,#Surname
Pirro,pirro,Male,Italian,Rock,#Surname
Plummer,plummer,Neutral,English,Occupational Name,#Occupational|#Surname
Poe,poe,Neutral,English,Peacock,#FictionalCharacter|#Surname
Ponce,ponce,Male,Spanish,Ocean,#Surname|#Water
Poole,poole,Neutral,English,Small Lake Or Stream,#Surname
Pope,pope,Neutral,English,Clergy,#Surname
Porter,porter,Neutral,English,Door Keeper,#Musical|#Occupational|#Surname
Potter,potter,Male,English,Pot Maker,#FictionalCharacter|#Literary|#Occupational|#Surname
Powell,powell,Male,Welsh,Son Of Howell/Hywell,#Surname
Prada,prada,Neutral,Italian,From Prada De Conflent; Meadow,#Brand|#Surname
Pratt,pratt,Female,English,Trick,#Surname
Prentice,prentice,Neutral,English,Apprentice,#Surname
Prescott,prescott,Male,English,From The Priest's Cottage,#Surname
Presley,presley,Neutral,English,From The Priest's Field,#Celebrity|#Surname
Preston,preston,Neutral,English,From The Priest's Town,#Surname
Price,price,Male,English,Son Of Rhys,#Surname
Primrose,primrose,Female,English,The Primrose Flower,#Nature|#Surname
Prince,prince,Male,Latin,Royal Son,#Royal|#Surname
Pringle,pringle,Neutral,English,From The Valley|Ravine.,#Brand|#Surname
Proctor,proctor,Neutral,English,Manager|Supervisor,#Occupational|#Surname
Pruitt,pruitt,Neutral,English,Brave One,#Surname
Pugh,pugh,Neutral,Welsh,Son Of Hugh,#Surname
Quant,quant,Neutral,Dutch,Rogue,#Surname
Quennell,quennell,Neutral,English,Woman Battle,#Surname
Quinn,quinn,Neutral,Irish,Descendent Of Conn,#Surname
Quintana,quintana,Female,Spanish,From The Country House,#Surname
Quintero,quintero,Neutral,Spanish,Fifth Or Farmstead,#Surname
Radley,radley,Male,English,From The Red Field,#Surname
Rafer,rafer,Male,German,Unknown,#Surname
Raider,raider,Male,English,One Who Invades And Takes,#Sports|#Surname
Raith,raith,Male,English,Unknown,#Surname
Ramirez,ramirez,Male,Spanish,Son Of Ramiro,#Surname
Ramos,ramos,Neutral,Spanish,From The Wooded Area,#Surname
Ramsey,ramsey,Male,Scottish,Island Of Garlic,#Surname
Randall,randall,Male,English,Shield Wolf,#Surname
Randolph,randolph,Male,English,Shield Wolf,#Surname
Rangel,rangel,Neutral,Portuguese,Unknown,#Surname
Rangeley,rangeley,Neutral,English,Place Name,#Place|#Surname
Ranger,ranger,Male,English,Forest Protector,#Occupational|#Surname
Ray,ray,Male,English,Counsel Protection,#Surname
Raymond,raymond,Male,English,Counsel Protection,#Surname
Razo,razo,Male,French,Royal,#Surname
Reading,reading,Neutral,English,Dweller In The Clearing,#Surname
Reagan,reagan,Neutral,Irish,Little King,#Politician|#Surname
Redell,redell,Neutral,American,Wolf Counsel,#Surname
Redford,redford,Male,English,From The Red Ford,#Celebrity|#Surname
Redmond,redmond,Male,Irish,Advice|Protector,#Sports|#Surname
Reed,reed,Neutral,English,A Reed Or Red Haired,#Nature|#Surname
Reese,reese,Neutral,Welsh,Passion|Enthusiasm,#Surname
Reeves,reeves,Male,English,Servant Or Child Of The Steward,#Surname
Reid,reid,Neutral,English,Red Headed,#Surname
Reilly,reilly,Neutral,Irish,Descendant Of Roghallach,#Surname
Renaud,renaud,Neutral,French,Advice|Rule,#FictionalCharacter|#Literary|#Surname
Reno,reno,Neutral,Spanish,Advice|Rule,#Surname
Revelin,revelin,Male,English,Pride|Rebellion,#Surname
Reyes,reyes,Neutral,Spanish,Kings,#Surname
Reynolds,reynolds,Male,English,Family Of Reginald,#Surname
Rhett,rhett,Male,English,Counsel|Advice,#FictionalCharacter|#Surname
Rhodes,rhodes,Neutral,English,From A Clearing In The Woods,#Surname
Rice,rice,Neutral,Welsh,Fiery Warrior,#Surname
Rich,rich,Male,English,Brave Ruler Or Wealthy,#Surname
Richmond,richmond,Male,English,The Protector King,#Place|#Surname
Ridgely,ridgely,Neutral,English,Lives By The Field Or Ridge,#Surname
Ridley,ridley,Neutral,English,Reed/Wood Clearing,#Nature|#Surname
Rigny,rigny,Neutral,French,From Rigny|France,#Surname
Riley,riley,Neutral,Irish,Descendant Of Roghallach,#Surname
Rios,rios,Neutral,Spanish,Lives Near The River,#Surname|#Water
Ritz,ritz,Male,English,Brave Ruler/Luxury,#Brand|#Surname
Rivas,rivas,Neutral,Spanish,From The River Bank,#Surname|#Water
Rivera,rivera,Neutral,Spanish,Lives Near The River,#Surname|#Water
Roach,roach,Neutral,English,Rocky Crag,#Surname
Robbins,robbins,Neutral,English,Famiy Of Robin,#Surname
Roberson,roberson,Male,English,Son Of Robert,#Surname
Robertson,robertson,Male,English,Son Of Robert,#Surname
Robinson,robinson,Male,English,Son Of Robin,#Literary|#Sports|#Surname
Robles,robles,Neutral,Spanish,Oak Trees,#Surname
Rocha,rocha,Neutral,Portuguese,Lives By The Rocky Crag,#Surname
Rockefeller,rockefeller,Male,American,From Rockenfeld|Germany,#Surname
Rodriguez,rodriguez,Male,Spanish,Son Of Rodrigo,#Surname
Rogan,rogan,Neutral,Irish,Redheaded,#Celebrity|#Surname
Rogers,rogers,Male,English,Family Of Roger,#Surname
Rojas,rojas,Neutral,Spanish,Red-headed Or Ruddy,#Surname
Rollins,rollins,Male,English,Son Of Rolf/Rollo,#Surname
Romero,romero,Male,Spanish,From Rome,#Surname
Romney,romney,Male,Welsh,From The Broad River,#Politician|#Surname|#Water
Roosevelt,roosevelt,Male,Dutch,From The Rose Field,#Politician|#Surname
Roper,roper,Neutral,English,Rope Maker,#Occupational|#Surname
Rosales,rosales,Neutral,Spanish,From The Place Of Roses,#Surname
Rosario,rosario,Neutral,Spanish,Rosary,#Surname
Rose,rose,Female,English,Rose,#Nature|#Surname
Rosencrantz,rosencrantz,Neutral,German,Rose Grower,#Surname
Ross,ross,Male,Scottish,Headland,#Surname
Roth,roth,Neutral,English,Red-headed,#Surname
Roux,roux,Neutral,French,Red,#Surname
Rowan,rowan,Neutral,Irish,Little Red One,#Surname
Rowe,rowe,Neutral,English,Renowned Wolf,#Surname
Roy,roy,Male,Scottish,Red,#Surname
Royce,royce,Male,English,Rose|Ruddy|Or Of Famous King,#Nature|#Surname
Rubio,rubio,Neutral,Spanish,Red-headed Or Ruddy,#Surname
Ruger,ruger,Male,English,Renowned-spear,#Brand|#Surname
Ruiz,ruiz,Male,Spanish,Son Of Roy/Ruy,#Surname
Rumer,rumer,Neutral,English,Fame Or Rome Pilgrim,#Surname
Rush,rush,Neutral,English,Reeds,#Surname
Russell,russell,Male,English,Red,#Surname
Russo,russo,Male,Italian,Red Haired,#Surname
Russom,russom,Male,English,Red,#Surname
Rustin,rustin,Neutral,English,Red-Haired,#Surname
Ruth,ruth,Female,Hebrew,Friendship,#Biblical|#Surname
Ryan,ryan,Neutral,Irish,Descendant Of The King,#Celebrity|#Surname
Ryden,ryden,Neutral,English,From The Rye Hill,#Surname
Ryker,ryker,Male,American,Becoming Rich,#Place|#Surname
Sadler,sadler,Male,English,Saddle Maker,#Surname
Sagan,sagan,Neutral,Polish,Kettle Maker,#Surname
Sailor,sailor,Neutral,German,Boat Man,#Occupational|#Surname
Salas,salas,Neutral,Spanish,Rooms|Halls,#Surname
Salazar,salazar,Neutral,Spanish,From Salazar|Spain.,#Surname
Salgado,salgado,Neutral,Portuguese,Salty|Wry,#Surname
Salinas,salinas,Neutral,Spanish,Lives In A Large Building Or Fortress,#Place|#Surname
Sanchez,sanchez,Male,Spanish,Son Of Sancho,#Surname
Sanders,sanders,Male,English,Family Of Alexander,#Surname
Sandoval,sandoval,Neutral,Spanish,Land Of Forest,#Place|#Surname
Sanford,sanford,Male,English,From The Sandy Ford,#Surname
Santana,santana,Neutral,Spanish,Follower Of St. Anna,#Surname
Santiago,santiago,Male,Spanish,Of St. James,#Place|#Surname
Santos,santos,Male,Spanish,Holy,#Surname
Saunders,saunders,Neutral,English,Family Of Alexander,#Surname
Savage,savage,Male,English,Wild One,#Surname
Savara,savara,Female,Indian,Unknown,#Surname
Sawyer,sawyer,Neutral,English,Wood Cutter,#Occupational|#Surname
Schneider,schneider,Neutral,German,Tailor,#Occupational|#Surname
Schroeder,schroeder,Male,German,Tailor,#Occupational|#Surname
Schultz,schultz,Male,German,Judge/Mayor,#Surname
Schwartz,schwartz,Neutral,German,Dark Or Swarthy,#Surname
Scott,scott,Male,English,Person From Scotland,#Surname
Scriabin,scriabin,Neutral,Russian,Scribe|Writer,#Musical|#Surname
Seal,seal,Neutral,English,Dweller By The Small Wood,#Surname
Seath,seath,Neutral,Irish,Wolfish,#Surname
Sebille,sebille,Female,English,Prophets,#Surname
Seeley,seeley,Neutral,English,Very Happy,#Surname
Sefton,sefton,Neutral,English,Town With The Rushes,#FictionalCharacter|#Place|#Surname
Serrano,serrano,Neutral,Spanish,Lives Near A Mountain Ridge,#Surname
Shackleton,shackleton,Neutral,English,From The Shackled Town,#Surname
Shaffer,shaffer,Male,German,Steward|Butler,#Occupational|#Surname
Shah,shah,Male,Persian,King,#Surname
Shannon,shannon,Neutral,Irish,Straw Worker,#Nature|#Occupational|#Surname
Sharp,sharp,Neutral,English,Smart Person,#Surname
Shaw,shaw,Male,English,Dweller By The Wood,#Surname
Shelley,shelley,Neutral,English,From The Sloping Field,#Surname
Shelton,shelton,Neutral,English,From The Ledge Enclosure,#Place|#Surname
Shepherd,shepherd,Neutral,English,Sheep Herder,#Nature|#Occupational|#Surname
Sherman,sherman,Male,English,Cloth Cutter,#Surname
Sherwin,sherwin,Male,English,Quick As The Wind,#Surname
Shields,shields,Neutral,English,From A Shed Or Shelter,#Surname
Sigourney,sigourney,Neutral,French,The Conqueror,#Celebrity|#FictionalCharacter|#Place|#Surname
Silva,silva,Neutral,Portuguese,By The Woods Or Forest,#Surname
Simmons,simmons,Neutral,English,Family Of Simon,#Surname
Simon,simon,Male,Hebrew,God Has Heard,#Biblical|#Surname
Simpson,simpson,Male,English,Son Of Simon,#FictionalCharacter|#Sports|#Surname
Sims,sims,Neutral,English,Family Of Simon,#Brand|#Surname
Sinatra,sinatra,Male,Italian,Senator|Elderly Man,#Celebrity|#Occupational|#Surname
Sinclair,sinclair,Male,English,From St. Clair|France,#Surname
Singer,singer,Neutral,English,Person Who Sings,#Occupational|#Surname
Singh,singh,Neutral,Indian,Lion-Like,#Surname
Singleton,singleton,Neutral,English,Lives Near A Burnt Clearing,#Surname
Skaggs,skaggs,Neutral,English,Bearded One,#Surname
Skinner,skinner,Neutral,English,Pelt/Hide Preparer,#Surname
Slade,slade,Male,English,Dweller In The Valley,#Surname
Slater,slater,Neutral,English,Slate Worker,#Occupational|#Surname
Sloan,sloan,Male,Irish,Expedition|Invasion,#Surname
Smith,smith,Male,English,Blacksmith Or Other Skilled Worker,#Occupational|#Surname
Smithers,smithers,Neutral,English,Metalsmith,#FictionalCharacter|#Surname
Snow,snow,Female,English,Frozen Rain|Light-haired.,#Nature|#Surname
